PARTICIPANTES;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
1;299;691;27/05/2020 22:59;SME;32;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;yes;São Paulo;Single;0;Yes;Isolated;1;0;Program A;NA;No;4;4;3;3;4;3;4;2;4;2;4;3;4;6;8;3;2;2;3;6;3;5;6;4;4;4;1;6;6;6;3;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;4;5;4;4;4;4;4;1;4;5;6;4;5;1;1;1;6;4;3;1;5;1;6;2;6;6;6;1;1;4;4;4;6;1;3;2;6;NA;4;4;4;5;5;4;5;4;3;5;3;1;5;1;5;5;5;4;5;3;5;4;4;5;1;5;NA;5;5;5;5;5;1;NA;3.1;366.666.666.666.667;466.666.666.666.667;4;4;5;466.666.666.666.667;4.3;NA
2;678;879;27/05/2020 10:56;PT-BR;54;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;Paraíba;Divorced/widowed;2;Yes;Isolated;1;0;NA;Program D;No;4;4;2;3;3;3;4;5;1;2;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;3;NA;NA;NA;NA;NA;NA;NA
3;680;514;26/05/2020 10:45;PT-BR;29;Male;PhD/Doctorate;Up to 6 years of school;Full time employed;Brazil;no;MINAS GERAIS;Married/cohabiting;1;Yes;Life carries on with minor changes;2;1;Program A;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1573;1412;21/05/2020 17:41;PT-BR;63;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;DF/ Brasilia;Single;0;Yes;Isolated;2;0;Program A;NA;No;2;1;2;5;5;1;4;5;2;2;1;1;3;5;6;0;5;4;5;1;0;5;5;4;5;5;2;6;6;5;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;5;5;5;5;6;4;2;4;3;5;1;5;5;5;99;5;4;1;4;1;99;5;3;4;5;4;2;1;1;1;2;5;5;4;4;2;NA;6;6;5;6;6;5;6;6;6;6;4;3;5;2;2;5;1;1;4;6;5;3;5;6;5;4;NA;2;1;5;4;5;4;NA;1.5;166.666.666.666.667;333.333.333.333.333;4;5;4;533.333.333.333.333;5.8;NA
5;2552;1032;16/05/2020 16:37;PT-BR;25;Male;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Pará;Single;0;Yes;Isolated;1;0;Program A;NA;No;3;3;4;3;2;4;3;3;3;2;2;1;3;6;7;6;5;7;8;9;6;4;6;5;6;6;3;6;5;6;5;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;5;6;5;4;4;5;5;2;6;5;4;6;4;2;6;99;6;4;5;1;2;1;5;6;5;6;4;5;5;2;2;5;5;5;1;5;3;NA;6;6;6;5;6;6;6;6;5;6;6;5;6;4;5;4;5;5;6;5;4;5;5;6;5;6;NA;6;5;4;3;4;3;Tenho a sensação de que o mundo tem acreditado menos na ciência e isso me preocupa, pois tornará mais difícil resolver problemas e diminui a importância do meu ofício, a psicologia.;3.2;2;333.333.333.333.333;466.666.666.666.667;466.666.666.666.667;533.333.333.333.333;3;5.8;NA
6;3084;2566;14/05/2020 05:50;PT-BR;72;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;No;Life carries on with minor changes;0;0;Program B;NA;Yes;3;2;2;4;2;2;4;4;2;2;3;1;3;5;8;1;3;3;1;8;1;5;5;5;5;NA;0;5;6;6;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;5;6;5;4;6;6;5;4;NA;6;6;3;6;99;4;99;99;3;4;1;99;4;1;5;2;4;5;5;6;1;4;6;1;2;2;5;4;NA;5;6;6;5;6;5;5;5;4;6;1;2;6;1;5;5;2;2;4;6;4;2;5;5;6;5;Sempre aguardo algo positivo;1;4;5;4;3;5;Ausência de sol. Observar que algumas pessoas não estão levando a sério a pandemia. Vejo da janela pessoas sem máscaras. Optei por receber compras on line na portaria do edifício. Entregadores sem máscara, podetiam usar elevadires e contaminar muitos. Eu desço de máscara e com calçado que uso para alguma grabde necessidade de sair. No retorno uso água sanitária no calçado. Pego com luva e coloco em local apropriado com mais água sanitária.  Em casa uso outro calçado. É uma logística preparar tudo isso  mas faz parte da proteção.;2.3;233.333.333.333.333;266.666.666.666.667;466.666.666.666.667;566.666.666.666.667;4.5;533.333.333.333.333;5.3;NA
7;3085;679;14/05/2020 05:11;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;NA;Program D;No;4;3;3;3;3;4;4;3;2;2;4;4;4;7;9;1;8;8;2;10;1;6;6;6;6;6;NA;5;5;5;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;6;3;6;3;6;5;3;3;4;6;4;5;6;4;99;4;6;6;4;99;99;6;6;6;6;6;6;5;5;6;6;6;5;3;6;4;NA;6;6;6;6;6;6;6;6;6;6;6;6;6;3;6;6;1;1;6;4;6;5;5;3;6;6;NA;6;6;6;6;3;1;NA;2.9;4;4;333.333.333.333.333;466.666.666.666.667;366.666.666.666.667;466.666.666.666.667;6;NA
8;3097;273;15/05/2020 02:54;PT-BR;58;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Rj;Single;0;Yes;Life carries on with minor changes;2;0;NA;Program C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;3109;577;14/05/2020 02:07;PT-BR;38;NA;College degree, bachelor, master;College degree;Retired;Brazil;NA;Rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;Program A;NA;No;3;2;5;3;2;4;3;1;2;3;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;5;3;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;3;3;4;4;2;3;1;5;5;4;2;4;5;4;6;99;6;4;4;3;4;99;6;4;6;6;6;2;2;4;1;2;6;5;2;6;6;NA;4;4;4;3;4;5;4;4;4;4;5;3;4;3;3;6;2;2;6;3;5;5;4;3;5;6;NA;2;2;2;2;4;2;NA;3.4;2;366.666.666.666.667;333.333.333.333.333;2;366.666.666.666.667;333.333.333.333.333;4;NA
10;3113;1879;14/05/2020 01:57;PT-BR;40;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;3;0;Program B;NA;No;5;3;5;4;2;3;2;4;2;4;1;1;2;4;4;0;6;NA;NA;5;NA;6;5;5;6;6;0;6;6;5;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;1;4;4;4;6;3;3;5;3;6;5;5;2;4;6;1;6;6;1;6;6;6;99;6;2;6;6;6;4;4;1;1;5;1;1;1;6;2;NA;5;5;6;6;6;5;6;6;5;5;2;6;5;4;4;2;4;4;4;5;2;2;4;5;6;1;NA;NA;NA;NA;NA;NA;NA;Sou a responsável financeira da minha casa, eu ando com dificuldades para dormir, muita tensão emocional dores por todo o corpo, dor de cabeça, meu pescoço travou. Sintomas de ansiedade e sem expectativa de melhoras em relação ao governo, principalmente do Federal;3.4;133.333.333.333.333;333.333.333.333.333;3;366.666.666.666.667;5;466.666.666.666.667;5.5;NA
